Name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ampara,507.6,882.6,4179,1502.4,2183.8,273.6,189.6,1003.6,469.4,3202.6,1527.4,762
Anuradhapura,937.4,658.6,2810.6,1135,1046.8,363.6,100.2,950,488.8,3084,2379.8,890.2
Badulla,941,1208,3585.6,1383,1785.6,432.6,342.6,1284.4,752.6,3037.4,2003,1178.4
Batticaloa,728.2,880.4,3996.4,1474.6,1785.2,416.8,227.8,1208,616.2,3400.8,2117.8,1043
Colombo,2424.6,2513.8,1774,1158.8,1192.2,1695,2355,1587.4,3125.8,3243.6,2947,2847.2
Galle,1906.4,2514.8,1798,1049.2,1141,1488.8,1984,1241.4,2845.4,3115.2,2605.2,2714.4
Gampaha,2056.6,1414.4,1377.6,1156.2,703.2,1170.8,1206.6,1533.6,1625,3138.8,3106.8,1930.2
Hambantota,549.8,1141.2,1786.6,928.4,922,248.4,491,644.2,706.4,2153.4,1071,890
Jaffna,834.2,992.2,2201.6,358,333.8,648.2,255.4,681.2,548.2,3709.4,2322.8,1613
Kalutara,2424.6,2513.8,1774,1158.8,1192.2,1695,2355,1587.4,3125.8,3243.6,2947,2847.2
Kandy,1365.6,1354.6,2398.4,1155.8,1192.2,646.2,457,1050.6,826.4,2911,2542.8,1366
Kegalle,2056.6,1414.4,1377.6,1156.2,703.2,1170.8,1206.6,1533.6,1625,3138.8,3106.8,1930.2
Kilinochchi,653.8,322.6,2913.4,412,509.6,144.6,13.4,606.6,273,3357,2112.2,621.4
Kurunegala,1603.2,725.6,1487.8,1136.2,629.4,569.6,461.6,1184.2,680.6,3040.2,2827.6,1199.4
Mannar,915.4,308.6,2488.4,579.8,619.4,145.8,8.8,745.4,287.2,2862,2116,575.2
Matale,1245.6,923.2,2453.8,1260.2,1090.6,592.8,365.4,1116.2,706.4,3200.6,2590.6,1162.2
Matara,1202.2,2243.2,1799.4,1069,1104.6,802.4,1307.2,988.6,1793.2,2664.2,1821,2023.4
Moneragala,906.2,1464.8,2889.6,1322.8,1519,409.6,506.2,1107,921.2,2697.2,1626.6,1275
Mullaitivu,515.2,532.2,3394.8,627.2,710.2,251.2,30,651,323,3729.8,2172,834.4
Nuwara Eliya,1414.6,1741.4,2171.4,1208.8,1256.4,601,612.8,1223.6,1072.2,2633.8,2371.8,1638.4
Polonnaruwa,728.2,880.4,3996.4,1474.6,1785.2,416.8,227.8,1208,616.2,3400.8,2117.8,1043
Puttalam,1594.8,306.2,1170.4,753.2,479.8,363.4,409.4,885,598.2,2694.4,2269,952.2
Ratnapura,1414.6,1741.4,2171.4,1208.8,1256.4,601,612.8,1223.6,1072.2,2633.8,2371.8,1638.4
Trincomalee,1023,1101.4,2217.4,828.6,615.6,759.8,350.6,1092.2,972.2,3313,2385.2,1648.6
Vavuniya,915.4,308.6,2488.4,579.8,619.4,145.8,8.8,745.4,287.2,2862,2116,575.2
